epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,3.633033275604248,3.5329999923706055,3.1042490005493164,3.568351984024048,4.117772579193115,0.11381473392248154,0.09728343039751053,0.11781806498765945,0.1310020387172699,7.058014869689941,5.988915920257568,7.1347432136535645,8.25433349609375
0,384,,,,,,,,,,,,,,5.7478532791137695,5.747071743011475,5.528069019317627,5.875313758850098,6.196006774902344,0.18940840661525726,0.17656725645065308,0.19582290947437286,0.20073693990707397,10.086615562438965,9.448731422424316,10.325132369995117,10.638169288635254,,,,,,,,,,,,,
1,769,,,,,,,,,,,,,,,,,,,,,,,,,,,3.336704730987549,3.2273101806640625,2.7400171756744385,3.224297046661377,3.93212890625,0.0935070812702179,0.07527229934930801,0.09469877183437347,0.11743903905153275,6.687038898468018,5.4355878829956055,6.6285200119018555,8.214319229125977
1,769,,,,,,,,,,,,,,3.833843231201172,3.833402395248413,3.2407824993133545,3.844022750854492,4.665277481079102,0.11543550342321396,0.09356950223445892,0.11774137616157532,0.14254344999790192,7.4989848136901855,6.153378963470459,7.485294818878174,9.093791007995605,,,,,,,,,,,,,
2,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,3.262722969055176,3.1528232097625732,2.6682941913604736,3.1369071006774902,3.8737316131591797,0.08875390887260437,0.07109183818101883,0.08885207027196884,0.11401841044425964,6.6205620765686035,5.343313694000244,6.540655612945557,8.182595252990723
2,1154,,,,,,,,,,,,,,3.674879789352417,3.674665689468384,3.0644381046295166,3.665795087814331,4.566195964813232,0.10471770912408829,0.0826900377869606,0.1053028255701065,0.13544878363609314,7.356292724609375,5.929786205291748,7.291313648223877,9.08381175994873,,,,,,,,,,,,,
3,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2244930267333984,3.114917039871216,2.6340675354003906,3.0961520671844482,3.8327507972717285,0.0869971513748169,0.06954894959926605,0.08664502203464508,0.11256362497806549,6.57737922668457,5.2984113693237305,6.493919849395752,8.139477729797363
3,1539,,,,,,,,,,,,,,3.6194348335266113,3.6190080642700195,3.011789321899414,3.604416847229004,4.51512336730957,0.10169670730829239,0.07991122454404831,0.10160315781831741,0.1332329511642456,7.307575702667236,5.866031169891357,7.236787796020508,9.045637130737305,,,,,,,,,,,,,
4,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1995155811309814,3.089934825897217,2.6151199340820312,3.0703134536743164,3.8026628494262695,0.08648013323545456,0.06907454878091812,0.0858834981918335,0.11211299151182175,6.536597728729248,5.271758079528809,6.454357147216797,8.078609466552734
4,1924,,,,,,,,,,,,,,3.587067127227783,3.5866549015045166,2.9843921661376953,3.570387840270996,4.478216648101807,0.10035023093223572,0.07876661419868469,0.09992240369319916,0.13207444548606873,7.271785736083984,5.82940149307251,7.202897071838379,9.00259780883789,,,,,,,,,,,,,
5,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17997670173645,3.0701544284820557,2.6017911434173584,3.048945903778076,3.7755849361419678,0.08564020693302155,0.06843864917755127,0.08490470051765442,0.11121010035276413,6.516976356506348,5.257150650024414,6.437078952789307,8.053448677062988
5,2309,,,,,,,,,,,,,,3.5624051094055176,3.5619332790374756,2.966010808944702,3.545060873031616,4.445436477661133,0.09961509704589844,0.07815393060445786,0.09904665499925613,0.13132178783416748,7.238274097442627,5.8041605949401855,7.171805381774902,8.956127166748047,,,,,,,,,,,,,
6,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1674904823303223,3.0571842193603516,2.5953738689422607,3.0368287563323975,3.754544734954834,0.08533001691102982,0.06833215057849884,0.08450689166784286,0.11068225651979446,6.493481159210205,5.244274139404297,6.415462493896484,8.018865585327148
6,2694,,,,,,,,,,,,,,3.542029619216919,3.541287422180176,2.951625347137451,3.524627685546875,4.415627479553223,0.09902515262365341,0.0777139738202095,0.09840637445449829,0.13057784736156464,7.207983493804932,5.783514976501465,7.144461631774902,8.912961959838867,,,,,,,,,,,,,
7,3079,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1540849208831787,3.0452983379364014,2.586005210876465,3.025324583053589,3.7395119667053223,0.0847257599234581,0.06779906898736954,0.08389998227357864,0.10988223552703857,6.443585395812988,5.209765911102295,6.368297576904297,7.95488166809082
7,3079,,,,,,,,,,,,,,3.522895574569702,3.5233476161956787,2.9409637451171875,3.506960153579712,4.386981964111328,0.0985180214047432,0.07740315794944763,0.0978584885597229,0.12981094419956207,7.177384853363037,5.764730930328369,7.116413593292236,8.86902904510498,,,,,,,,,,,,,
8,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1377596855163574,3.0280933380126953,2.5780482292175293,3.0076658725738525,3.710829257965088,0.08464721590280533,0.06781933456659317,0.08380504697561264,0.10973414778709412,6.425652503967285,5.201808452606201,6.353786945343018,7.920732021331787
8,3464,,,,,,,,,,,,,,3.505899667739868,3.50575852394104,2.931305408477783,3.4897854328155518,4.358306407928467,0.09808748215436935,0.0771699920296669,0.09741894900798798,0.12906143069267273,7.144189357757568,5.746701717376709,7.0861639976501465,8.821359634399414,,,,,,,,,,,,,
9,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1268160343170166,3.017103672027588,2.571030616760254,2.9973065853118896,3.6924448013305664,0.08449023216962814,0.06781148910522461,0.08362288028001785,0.10925262421369553,6.389689922332764,5.188572406768799,6.320102691650391,7.865962982177734
9,3849,,,,,,,,,,,,,,3.4895060062408447,3.4890732765197754,2.9229204654693604,3.4738991260528564,4.329128265380859,0.0977189913392067,0.07697374373674393,0.09705828130245209,0.12839747965335846,7.110130786895752,5.728704452514648,7.055381774902344,8.770615577697754,,,,,,,,,,,,,
10,4234,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1157877445220947,3.0061306953430176,2.5664944648742676,2.985898733139038,3.67289400100708,0.08411913365125656,0.06768711656332016,0.08331175893545151,0.10853860527276993,6.359819412231445,5.1688103675842285,6.292374134063721,7.824234485626221
10,4234,,,,,,,,,,,,,,3.474151134490967,3.4738800525665283,2.9165287017822266,3.4597394466400146,4.300910472869873,0.09735039621591568,0.07685014605522156,0.09670673310756683,0.1276363879442215,7.075078010559082,5.711352348327637,7.024497032165527,8.71755313873291,,,,,,,,,,,,,
11,4619,,,,,,,,,,,,,,,,,,,,,,,,,,,3.105041980743408,2.993563652038574,2.5627377033233643,2.9769446849823,3.645366907119751,0.08403392881155014,0.06771028786897659,0.08326978236436844,0.10817775875329971,6.3637518882751465,5.1787309646606445,6.298256874084473,7.823832035064697
11,4619,,,,,,,,,,,,,,3.4583122730255127,3.4580893516540527,2.909749746322632,3.4454896450042725,4.27154016494751,0.09700149297714233,0.07671403884887695,0.09641345590353012,0.12690211832523346,7.038966655731201,5.694199085235596,6.992722034454346,8.662436485290527,,,,,,,,,,,,,
12,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0905988216400146,2.9799492359161377,2.5560340881347656,2.963616132736206,3.6224730014801025,0.08364860713481903,0.06740149855613708,0.0829988643527031,0.10764167457818985,6.308003902435303,5.151022434234619,6.251347064971924,7.733047008514404
12,5004,,,,,,,,,,,,,,3.44350528717041,3.4428091049194336,2.9039926528930664,3.4317915439605713,4.242364406585693,0.09666864573955536,0.07662708312273026,0.09615610539913177,0.1261449009180069,7.001952648162842,5.67747688293457,6.959997653961182,8.604116439819336,,,,,,,,,,,,,
