model,dataset,method,n_trials,mean_val_mae,std_val_mae,median_val_mae,iqr_val_mae,best_val_mae,trial_at_best,mean_trial_duration_sec,std_trial_duration_sec,total_elapsed_sec,file
agcrn,metrla,BODE,25,2.699246588,0.059789546,2.677187204,0.019809723,2.655337095,2,1097.381433,813.9154094,27441.0938,agcrn_metrla_BODE_20260821.xlsx
agcrn,metrla,RS,25,2.79512598,0.127333145,2.733985662,0.203050852,2.648878574,8,1073.560592,900.6443426,26840.46287,agcrn_metrla_RS_20260819.xlsx
graphwavenet,metrla,BODE,25,2.64745904,0.073944285,2.612879753,0.066044092,2.583797693,24,983.1385294,384.3249076,24585.11072,graphwavenet_metrla_BODE_20260820.xlsx
graphwavenet,metrla,RS,25,2.760927057,0.142308622,2.721146345,0.247891188,2.579255342,23,699.5650198,385.9580558,12560.44242,graphwavenet_metrla_RS_20260819.xlsx
stgcn,metrla,BODE,25,2.787602081,0.138161759,2.709306002,0.224265337,2.669647694,13,869.3016252,393.1152222,21741.11994,stgcn_metrla_BODE_20260823.xlsx
stgcn,metrla,RS,25,2.999740725,0.092026788,2.997155905,0.136845827,2.828940392,3,371.3939421,191.9113516,9285.903537,stgcn_metrla_RS_20260819.xlsx
