epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2815706729888916,3.1557838916778564,2.6372320652008057,3.1310436725616455,3.94513201713562,0.08751822263002396,0.06819460541009903,0.08689823746681213,0.11643831431865692,6.518852710723877,5.178767204284668,6.444774627685547,8.116278648376465
0,384,,,,,,,,,,,,,,4.438696384429932,4.438782691955566,3.844899892807007,4.518939018249512,5.354896545410156,0.1253116875886917,0.10349084436893463,0.12954887747764587,0.15762224793434143,8.024568557739258,6.6861042976379395,8.193083763122559,9.704846382141113,,,,,,,,,,,,,
1,769,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2442638874053955,3.1160128116607666,2.600494861602783,3.0878360271453857,3.891343832015991,0.08467838168144226,0.06582940369844437,0.08411633968353271,0.11267910152673721,6.460949897766113,5.105479717254639,6.371531963348389,8.061395645141602
1,769,,,,,,,,,,,,,,3.9295709133148193,3.9297287464141846,3.3119843006134033,3.9285590648651123,4.844792366027832,0.10985855758190155,0.08756037801504135,0.11005516350269318,0.1426999419927597,7.447873592376709,5.983431339263916,7.419881820678711,9.180983543395996,,,,,,,,,,,,,
2,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2190067768096924,3.0862643718719482,2.5746817588806152,3.0642664432525635,3.8524160385131836,0.08594967424869537,0.06655547022819519,0.08546452224254608,0.11502062529325485,6.455577373504639,5.119908332824707,6.373287677764893,8.035364151000977
2,1154,,,,,,,,,,,,,,3.851334571838379,3.8508899211883545,3.235809326171875,3.8364102840423584,4.76291036605835,0.10784584283828735,0.08558857440948486,0.10763485729694366,0.14085733890533447,7.370601654052734,5.906363010406494,7.325090408325195,9.101218223571777,,,,,,,,,,,,,
3,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,3.219194173812866,3.0882625579833984,2.589472770690918,3.0697054862976074,3.8382322788238525,0.08710888773202896,0.06819140911102295,0.08670131117105484,0.1155751645565033,6.396744728088379,5.091403007507324,6.320368766784668,7.938111305236816
3,1539,,,,,,,,,,,,,,3.8075711727142334,3.807156562805176,3.1966631412506104,3.791602373123169,4.719569683074951,0.10674484819173813,0.0846860408782959,0.10650333762168884,0.1399664282798767,7.326854705810547,5.867434978485107,7.274294376373291,9.05689811706543,,,,,,,,,,,,,
4,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,3.213090419769287,3.0829107761383057,2.566988706588745,3.0589499473571777,3.8492255210876465,0.08503562957048416,0.0651702731847763,0.08426424860954285,0.11440204828977585,6.421661853790283,5.092221736907959,6.34505558013916,7.99087381362915
4,1924,,,,,,,,,,,,,,3.7811248302459717,3.7810776233673096,3.1715922355651855,3.763631582260132,4.68928337097168,0.10614859312772751,0.08414870500564575,0.10572499781847,0.13924185931682587,7.299058437347412,5.843217849731445,7.243218421936035,9.025431632995605,,,,,,,,,,,,,
5,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2122867107391357,3.0828752517700195,2.581718683242798,3.0597915649414062,3.832244873046875,0.08477208018302917,0.06600712239742279,0.08361627906560898,0.11306045204401016,6.36713981628418,5.043736934661865,6.29508113861084,7.929225921630859
5,2309,,,,,,,,,,,,,,3.764220714569092,3.7639107704162598,3.1546192169189453,3.744474411010742,4.672327995300293,0.10575186461210251,0.08377619832754135,0.10503950715065002,0.1389423906803131,7.285794258117676,5.828587532043457,7.227015495300293,9.012166023254395,,,,,,,,,,,,,
6,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2095460891723633,3.0806360244750977,2.583770513534546,3.0640652179718018,3.821652889251709,0.08667675405740738,0.06708718091249466,0.08597889542579651,0.11598268896341324,6.342065334320068,5.058899402618408,6.280971050262451,7.859540939331055
6,2694,,,,,,,,,,,,,,3.746633291244507,3.7468292713165283,3.1402065753936768,3.726680278778076,4.6518235206604,0.10540970414876938,0.08339855819940567,0.1045246496796608,0.13861054182052612,7.2645039558410645,5.814879417419434,7.202043533325195,8.985730171203613,,,,,,,,,,,,,
7,3079,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1920132637023926,3.0605931282043457,2.556399345397949,3.037898540496826,3.8236031532287598,0.08168835937976837,0.0634433776140213,0.0808052346110344,0.10905618220567703,6.430056095123291,5.064820289611816,6.350925445556641,8.038349151611328
7,3079,,,,,,,,,,,,,,3.7336618900299072,3.7335431575775146,3.12926983833313,3.7129361629486084,4.635190963745117,0.1051265299320221,0.08319508284330368,0.10413742810487747,0.13810348510742188,7.252414226531982,5.803600788116455,7.1880316734313965,8.972926139831543,,,,,,,,,,,,,
8,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200732946395874,3.068331241607666,2.5677475929260254,3.0458292961120605,3.8170511722564697,0.08581257611513138,0.0673215314745903,0.08483254909515381,0.11312475800514221,6.419018745422363,5.084419250488281,6.338460445404053,8.00583553314209
8,3464,,,,,,,,,,,,,,3.7243640422821045,3.724276304244995,3.1192398071289062,3.7036678791046143,4.623645782470703,0.10496041178703308,0.08297091722488403,0.10395690053701401,0.13782931864261627,7.2432541847229,5.792145729064941,7.177239894866943,8.961750030517578,,,,,,,,,,,,,
9,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1904819011688232,3.0592002868652344,2.5658416748046875,3.0460355281829834,3.788905382156372,0.08732643723487854,0.06756589561700821,0.08656548708677292,0.1161959320306778,6.355183124542236,5.078908443450928,6.293502330780029,7.871118545532227
9,3849,,,,,,,,,,,,,,3.717928409576416,3.717613935470581,3.1130521297454834,3.697737216949463,4.613570213317871,0.10487420111894608,0.0828404501080513,0.10387768596410751,0.137515589594841,7.235008716583252,5.786078929901123,7.169164180755615,8.951444625854492,,,,,,,,,,,,,
10,4234,,,,,,,,,,,,,,,,,,,,,,,,,,,3.195341110229492,3.0651187896728516,2.566610097885132,3.039673328399658,3.82188081741333,0.08374573290348053,0.06584309041500092,0.08260459452867508,0.1107160672545433,6.406559467315674,5.052863597869873,6.321858882904053,8.023590087890625
10,4234,,,,,,,,,,,,,,3.709803342819214,3.7093441486358643,3.1058971881866455,3.6895294189453125,4.603891372680664,0.10470695048570633,0.08271894603967667,0.10369214415550232,0.13730809092521667,7.2269158363342285,5.783518314361572,7.160658836364746,8.940288543701172,,,,,,,,,,,,,
11,4619,,,,,,,,,,,,,,,,,,,,,,,,,,,3.165618896484375,3.031165599822998,2.5392842292785645,3.012134075164795,3.769125461578369,0.0838395282626152,0.06501024961471558,0.0830114334821701,0.11161768436431885,6.354796886444092,5.044968605041504,6.280496120452881,7.915622711181641
11,4619,,,,,,,,,,,,,,3.7036736011505127,3.7035844326019287,3.101881265640259,3.6841609477996826,4.596380233764648,0.10460367798805237,0.0826091542840004,0.10363433510065079,0.13713163137435913,7.22059965133667,5.777148723602295,7.154715538024902,8.93208122253418,,,,,,,,,,,,,
12,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,3.173903703689575,3.043506145477295,2.5566251277923584,3.0306625366210938,3.7696027755737305,0.08528877794742584,0.06620287150144577,0.08485842496156693,0.11319585144519806,6.327700614929199,5.04122257232666,6.261137008666992,7.859804153442383
12,5004,,,,,,,,,,,,,,3.697953939437866,3.697558879852295,3.0955655574798584,3.678600311279297,4.590059280395508,0.10447857528924942,0.08239972591400146,0.10360082238912582,0.13698405027389526,7.216961860656738,5.773163795471191,7.151748180389404,8.928865432739258,,,,,,,,,,,,,
13,5389,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1549108028411865,3.022089958190918,2.5345382690429688,3.0041353702545166,3.7540578842163086,0.08307003974914551,0.06475377082824707,0.0823056548833847,0.11023564636707306,6.329883098602295,5.015044212341309,6.253123760223389,7.895939826965332
13,5389,,,,,,,,,,,,,,3.6914331912994385,3.69099497795105,3.0899736881256104,3.67250919342041,4.581348419189453,0.10429828613996506,0.08225823193788528,0.10342274606227875,0.13674437999725342,7.206790447235107,5.766071319580078,7.139459133148193,8.917657852172852,,,,,,,,,,,,,
14,5774,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1789438724517822,3.049630641937256,2.558601140975952,3.0358431339263916,3.779526710510254,0.08668328076601028,0.06711959838867188,0.08609052002429962,0.11524669080972672,6.324812412261963,5.041634559631348,6.261541843414307,7.852527618408203
14,5774,,,,,,,,,,,,,,3.6878597736358643,3.6878819465637207,3.0872583389282227,3.670290470123291,4.577118873596191,0.10431721061468124,0.08225574344396591,0.10344601422548294,0.1367214024066925,7.203967094421387,5.763598918914795,7.138535499572754,8.913653373718262,,,,,,,,,,,,,
15,5775,3.566202163696289,3.7042925357818604,3.0281996726989746,3.681135416030884,4.7154717445373535,0.1089332327246666,0.08287844806909561,0.10776583105325699,0.14762644469738007,7.311191558837891,5.770554542541504,7.224187850952148,9.148713111877441,,,,,,,,,,,,,,,,,,,,,,,,,,
