epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,1.795902132987976,1.7959017753601074,1.477084994316101,1.8514043092727661,2.2377381324768066,0.041691433638334274,0.03299662470817566,0.04296044260263443,0.053261443972587585,3.9815328121185303,3.0322632789611816,4.030242919921875,5.001489162445068
0,2343,,,,,,,,,,,,,,1.8628687858581543,1.8628644943237305,1.4841350317001343,1.8771188259124756,2.4161577224731445,0.042584214359521866,0.032527752220630646,0.04259447008371353,0.057208288460969925,4.1586995124816895,3.0806820392608643,4.1065263748168945,5.3544769287109375,,,,,,,,,,,,,
1,4687,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7118829488754272,1.7118828296661377,1.4311254024505615,1.7848116159439087,2.087280750274658,0.039618976414203644,0.03134964406490326,0.04128584265708923,0.05004597082734108,3.8359410762786865,2.958853006362915,3.9172418117523193,4.7533369064331055
1,4687,,,,,,,,,,,,,,1.6273219585418701,1.6273233890533447,1.3532100915908813,1.6773632764816284,2.0140388011932373,0.036062825471162796,0.028492877259850502,0.03727184608578682,0.04609479010105133,3.567749500274658,2.755624771118164,3.6241955757141113,4.444446563720703,,,,,,,,,,,,,
2,7031,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6901615858078003,1.6901614665985107,1.4276827573776245,1.759018898010254,2.042707681655884,0.040089547634124756,0.03172113001346588,0.04177248105406761,0.05067693069577217,3.8478100299835205,2.9782702922821045,3.9442520141601562,4.7306809425354
2,7031,,,,,,,,,,,,,,1.5684436559677124,1.568433165550232,1.3237650394439697,1.6206265687942505,1.916277527809143,0.034543029963970184,0.027801785618066788,0.035812605172395706,0.04353241249918938,3.448474168777466,2.703510284423828,3.5210037231445312,4.257656097412109,,,,,,,,,,,,,
3,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665734887123108,1.6657342910766602,1.409035086631775,1.7283354997634888,2.018373727798462,0.0393332801759243,0.03095250017940998,0.040748972445726395,0.050261240452528,3.777376413345337,2.925940752029419,3.865290880203247,4.662202835083008
3,9375,,,,,,,,,,,,,,1.5277695655822754,1.527803659439087,1.3036686182022095,1.5803272724151611,1.8503186702728271,0.03350706398487091,0.027334433048963547,0.03479146584868431,0.041824713349342346,3.3649375438690186,2.6683619022369385,3.4479758739471436,4.127208232879639,,,,,,,,,,,,,
4,11719,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6596734523773193,1.6596736907958984,1.4129016399383545,1.7325447797775269,1.984802007675171,0.03889072313904762,0.03135155141353607,0.04080454260110855,0.048269469290971756,3.7792320251464844,2.9417836666107178,3.8913536071777344,4.61308479309082
4,11719,,,,,,,,,,,,,,1.498099684715271,1.498086929321289,1.2894707918167114,1.549678921699524,1.8034484386444092,0.03278201073408127,0.027017896994948387,0.03404483199119568,0.040648575872182846,3.3027544021606445,2.6411221027374268,3.3914058208465576,4.035609245300293,,,,,,,,,,,,,
5,14063,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6355599164962769,1.6355594396591187,1.3991377353668213,1.7007745504379272,1.9672636985778809,0.03778509050607681,0.03090956248342991,0.03937627375125885,0.04684651643037796,3.7466259002685547,2.917649984359741,3.844715118408203,4.6171159744262695
5,14063,,,,,,,,,,,,,,1.4742398262023926,1.474233627319336,1.2787079811096191,1.525291085243225,1.7653653621673584,0.03217212110757828,0.02675856277346611,0.03342338651418686,0.03966468572616577,3.251736879348755,2.6206812858581543,3.344616651535034,3.959343194961548,,,,,,,,,,,,,
6,16407,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6240663528442383,1.6240671873092651,1.388878583908081,1.6915323734283447,1.9478336572647095,0.037728458642959595,0.030610663816332817,0.0394694022834301,0.04688216745853424,3.707167387008667,2.902009963989258,3.8188998699188232,4.5407819747924805
6,16407,,,,,,,,,,,,,,1.4535945653915405,1.4535964727401733,1.2685644626617432,1.5040826797485352,1.7343071699142456,0.031661245971918106,0.026524437591433525,0.03290003910660744,0.03888208791613579,3.2083346843719482,2.6018478870391846,3.3040249347686768,3.898371934890747,,,,,,,,,,,,,
7,18751,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6268435716629028,1.6268432140350342,1.3961559534072876,1.686187744140625,1.9541369676589966,0.03691864758729935,0.030186977237462997,0.0384221225976944,0.045900844037532806,3.7154200077056885,2.9033913612365723,3.810194253921509,4.570886135101318
7,18751,,,,,,,,,,,,,,1.436691403388977,1.4367220401763916,1.2607425451278687,1.4860867261886597,1.709000825881958,0.03125323727726936,0.02634669840335846,0.03246479108929634,0.03824857249855995,3.171386480331421,2.5863025188446045,3.2683401107788086,3.8452558517456055,,,,,,,,,,,,,
8,21095,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6164474487304688,1.616446852684021,1.385154366493225,1.680439829826355,1.9399183988571167,0.03702876344323158,0.030174531042575836,0.038502682000398636,0.04614522308111191,3.6903908252716064,2.888000249862671,3.7975516319274902,4.530420303344727
