epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,292,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1131701469421387,2.1131703853607178,1.5365859270095825,2.121873378753662,2.955460786819458,0.050235409289598465,0.033026617020368576,0.049482084810733795,0.07604538649320602,4.914610385894775,3.2634878158569336,4.78098201751709,6.621585845947266
0,292,,,,,,,,,,,,,,2.245724678039551,2.245727062225342,1.7241761684417725,2.27931809425354,2.9833133220672607,0.05165542662143707,0.037695031613111496,0.05147429183125496,0.07262507826089859,4.891174793243408,3.518673896789551,4.810815811157227,6.400014400482178,,,,,,,,,,,,,
1,585,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1202614307403564,2.1202616691589355,1.5924851894378662,2.1310558319091797,2.8988406658172607,0.0490289032459259,0.03455260023474693,0.048412006348371506,0.07079015672206879,4.995851516723633,3.4087631702423096,4.887491703033447,6.655505180358887
1,585,,,,,,,,,,,,,,2.019810914993286,2.0198159217834473,1.5230845212936401,2.033963918685913,2.7425990104675293,0.04647953435778618,0.03249345347285271,0.04607950150966644,0.06717818230390549,4.531407833099365,3.1315627098083496,4.425677299499512,6.031219005584717,,,,,,,,,,,,,
2,878,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0424318313598633,2.042431592941284,1.5064773559570312,2.0566577911376953,2.8216171264648438,0.049625214189291,0.0329277366399765,0.049163103103637695,0.0738900750875473,4.725752830505371,3.1547558307647705,4.612344741821289,6.3421711921691895
2,878,,,,,,,,,,,,,,1.9748241901397705,1.9748213291168213,1.4888715744018555,1.9886987209320068,2.681424617767334,0.04531769081950188,0.03156432509422302,0.045016784220933914,0.06539366394281387,4.447770595550537,3.068084239959717,4.347444534301758,5.915596008300781,,,,,,,,,,,,,
3,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,2.044656276702881,2.044656276702881,1.510650873184204,2.0624876022338867,2.8151140213012695,0.04991287365555763,0.03301187604665756,0.049507640302181244,0.07414849102497101,4.732610702514648,3.1480579376220703,4.6147685050964355,6.35632848739624
3,1171,,,,,,,,,,,,,,1.9517192840576172,1.9517158269882202,1.4687961339950562,1.96445894241333,2.652301073074341,0.04470803588628769,0.03104631043970585,0.044413238763809204,0.06454925239086151,4.405570983886719,3.0266451835632324,4.305683612823486,5.8621368408203125,,,,,,,,,,,,,
4,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007688522338867,2.007688522338867,1.4789111614227295,2.0226612091064453,2.7724316120147705,0.04753292351961136,0.03168938681483269,0.04710640758275986,0.07045895606279373,4.6966166496276855,3.1278328895568848,4.582376956939697,6.307607650756836
4,1464,,,,,,,,,,,,,,1.935657024383545,1.9356569051742554,1.457108974456787,1.9483044147491455,2.6297905445098877,0.044270336627960205,0.030724510550498962,0.04397471249103546,0.06391441822052002,4.369750022888184,2.99550461769104,4.27084493637085,5.8189377784729,,,,,,,,,,,,,
