epoch,step,test_loss,test_mae,test_mae_at_15,test_mae_at_30,test_mae_at_60,test_mape,test_mape_at_15,test_mape_at_30,test_mape_at_60,test_rmse,test_rmse_at_15,test_rmse_at_30,test_rmse_at_60,train_loss,train_mae,train_mae_at_15,train_mae_at_30,train_mae_at_60,train_mape,train_mape_at_15,train_mape_at_30,train_mape_at_60,train_rmse,train_rmse_at_15,train_rmse_at_30,train_rmse_at_60,val_loss,val_mae,val_mae_at_15,val_mae_at_30,val_mae_at_60,val_mape,val_mape_at_15,val_mape_at_30,val_mape_at_60,val_rmse,val_rmse_at_15,val_rmse_at_30,val_rmse_at_60
0,585,,,,,,,,,,,,,,,,,,,,,,,,,,,2.170341730117798,2.1703410148620605,1.5744023323059082,2.1629838943481445,3.051576852798462,0.04995134472846985,0.03326775133609772,0.048920318484306335,0.07484782487154007,5.0413498878479,3.311201333999634,4.876328468322754,6.8443603515625
0,585,,,,,,,,,,,,,,2.420438289642334,2.4204838275909424,1.92277991771698,2.465247869491577,3.162266731262207,0.056655071675777435,0.042908620089292526,0.057715773582458496,0.07718862593173981,5.132631778717041,3.809218168258667,5.181246757507324,6.637557029724121,,,,,,,,,,,,,
1,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,2.108624219894409,2.108623743057251,1.5346273183822632,2.1045022010803223,2.9551563262939453,0.04902392253279686,0.032599106431007385,0.047867272049188614,0.07392609864473343,4.943805694580078,3.2609615325927734,4.801170825958252,6.67179536819458
1,1171,,,,,,,,,,,,,,2.1393580436706543,2.1393563747406006,1.641598105430603,2.1446831226348877,2.8680083751678467,0.049638692289590836,0.035870276391506195,0.04921496659517288,0.07019735872745514,4.680379390716553,3.27354097366333,4.583710193634033,6.195667266845703,,,,,,,,,,,,,
2,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0973708629608154,2.0973713397979736,1.5190709829330444,2.0998542308807373,2.9456069469451904,0.04823007807135582,0.032064586877822876,0.04751594364643097,0.07240571081638336,4.929068088531494,3.215278387069702,4.773707866668701,6.6864542961120605
2,1757,,,,,,,,,,,,,,2.088510274887085,2.0885112285614014,1.5992791652679443,2.091933488845825,2.8101491928100586,0.04843335226178169,0.0349450521171093,0.04792497679591179,0.06871550530195236,4.6082916259765625,3.2191872596740723,4.50182580947876,6.113850116729736,,,,,,,,,,,,,
3,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098762035369873,2.098761796951294,1.540305256843567,2.1060261726379395,2.908409357070923,0.05150991305708885,0.034773942083120346,0.05085466057062149,0.07600612193346024,4.811893939971924,3.2005183696746826,4.674861431121826,6.485680103302002
3,2343,,,,,,,,,,,,,,2.0657570362091064,2.065753221511841,1.578162670135498,2.0662498474121094,2.7830069065093994,0.04790358990430832,0.03446853533387184,0.047258105129003525,0.06796681135892868,4.5723700523376465,3.182691812515259,4.457113742828369,6.072116851806641,,,,,,,,,,,,,
4,2929,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0856831073760986,2.0856828689575195,1.5253982543945312,2.0894975662231445,2.9053103923797607,0.048050664365291595,0.032155342400074005,0.0470757819712162,0.07187323272228241,4.897697448730469,3.241171360015869,4.777130603790283,6.588951110839844
4,2929,,,,,,,,,,,,,,2.0486538410186768,2.048637628555298,1.5623029470443726,2.0475881099700928,2.7612388134002686,0.04750505089759827,0.03408413007855415,0.04676889255642891,0.0674191415309906,4.545004844665527,3.1589598655700684,4.427981376647949,6.036022663116455,,,,,,,,,,,,,
5,3515,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0654399394989014,2.0654401779174805,1.4963691234588623,2.070232391357422,2.89701771736145,0.04884110763669014,0.03224877268075943,0.04813425987958908,0.07335777580738068,4.83725643157959,3.1718199253082275,4.694638729095459,6.552585124969482
5,3515,,,,,,,,,,,,,,2.0389082431793213,2.0388948917388916,1.553508996963501,2.037518262863159,2.748821496963501,0.047273848205804825,0.033877212554216385,0.046496447175741196,0.06711395829916,4.529775142669678,3.145137071609497,4.412465572357178,6.016411781311035,,,,,,,,,,,,,
6,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0776257514953613,2.0776257514953613,1.5113203525543213,2.0873196125030518,2.897535562515259,0.05046623945236206,0.032876502722501755,0.049815524369478226,0.07611634582281113,4.806362152099609,3.178103446960449,4.6764140129089355,6.486057758331299
6,4101,,,,,,,,,,,,,,2.031917095184326,2.03190279006958,1.5466549396514893,2.0308284759521484,2.740746021270752,0.04712926968932152,0.033757515251636505,0.0464058518409729,0.06683338433504105,4.524371147155762,3.1387200355529785,4.4056267738342285,6.012362003326416,,,,,,,,,,,,,
7,4687,,,,,,,,,,,,,,,,,,,,,,,,,,,2.051115036010742,2.051115036010742,1.496376395225525,2.055809497833252,2.8617124557495117,0.04876277223229408,0.032743263989686966,0.04812133312225342,0.0723407045006752,4.771659851074219,3.141481399536133,4.630839824676514,6.455127239227295
7,4687,,,,,,,,,,,,,,2.0231361389160156,2.023136854171753,1.5401935577392578,2.0224428176879883,2.72866153717041,0.04691796377301216,0.03360360860824585,0.046211857348680496,0.0665174275636673,4.509278774261475,3.1292731761932373,4.390305042266846,5.992606163024902,,,,,,,,,,,,,
8,5273,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0792200565338135,2.0792200565338135,1.5181934833526611,2.088005542755127,2.8929567337036133,0.05091468244791031,0.03366280719637871,0.05022571608424187,0.07604646682739258,4.785985946655273,3.1649091243743896,4.653438568115234,6.461847305297852
8,5273,,,,,,,,,,,,,,2.0215229988098145,2.0215070247650146,1.5384265184402466,2.020606756210327,2.727680206298828,0.046917520463466644,0.03361021727323532,0.046231601387262344,0.06649644672870636,4.511782646179199,3.128634214401245,4.392868518829346,5.997103214263916,,,,,,,,,,,,,
9,5859,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0460925102233887,2.0460925102233887,1.4834036827087402,2.053515672683716,2.8667032718658447,0.047381144016981125,0.031200610101222992,0.04659678041934967,0.07149673253297806,4.815134048461914,3.159719944000244,4.687953472137451,6.503779888153076
9,5859,,,,,,,,,,,,,,2.0173354148864746,2.017343759536743,1.5353574752807617,2.0169477462768555,2.721095323562622,0.046803031116724014,0.03352056071162224,0.04612654075026512,0.06631579250097275,4.503005027770996,3.121502637863159,4.382351398468018,5.986908435821533,,,,,,,,,,,,,
10,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0426387786865234,2.0426394939422607,1.491039514541626,2.053797960281372,2.8416688442230225,0.04931120574474335,0.03250174596905708,0.048627227544784546,0.07391580194234848,4.747935771942139,3.138679265975952,4.6165690422058105,6.408816337585449
10,6445,,,,,,,,,,,,,,2.0108816623687744,2.010869026184082,1.5298988819122314,2.010549783706665,2.712430477142334,0.046651724725961685,0.03340219706296921,0.0459747388958931,0.0660933181643486,4.4923577308654785,3.1126954555511475,4.373598098754883,5.971841812133789,,,,,,,,,,,,,
